id,title,fileType,date,description,name,tags,digital,thumbPath
az154,azur365 2023 Day 154,png,3/6/2023,HMS Monarch,154_monarch,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\154_monarch.jpg
az155,azur365 2023 Day 155,png,4/6/2023,SN Volga,155_volga,"azur365, fanart, azur lane, chibi, SN, volga",1,.\public\assets\thumbnails\azur365\155_volga.jpg
az156,azur365 2023 Day 156,png,5/6/2023,USS Radford,156_radford,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\156_radford.jpg
az157,azur365 2023 Day 157,png,6/6/2023,USS Jenkins,157_jenkins,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\157_jenkins.jpg
az158,azur365 2023 Day 158,png,7/6/2023,USS Essex,158_essex,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\158_essex.jpg
az159,azur365 2023 Day 159,png,8/6/2023,USS Shangri-La,159_shangri-La,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\159_shangri-La.jpg
az160,azur365 2023 Day 160,png,9/6/2023,HMS Aurora,160_aurora,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\160_aurora.jpg
az161,azur365 2023 Day 161,png,10/6/2023,USS Independence,161_independence,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\161_independence.jpg
az162,azur365 2023 Day 162,png,11/6/2023,IJN Yuudachi,162_yuudachi,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\162_yuudachi.jpg
az163,azur365 2023 Day 163,png,12/6/2023,IJN Mutsuki,163_mutsuki,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\163_mutsuki.jpg
az164,azur365 2023 Day 164,png,13/6/2023,KMS Z18 Hans Lüdemann,164_z18_hans_lüdemann,"azur365, fanart, azur lane, chibi, KMS",1,.\public\assets\thumbnails\azur365\164_z18_hans_lüdemann.jpg
